delta,surrogate_obj,true_obj,solve_time,mip_gap
0.0,333.5558968162718,inf,0.017586946487426758,0.0
10.0,,inf,0.02874755859375,0.0
50.0,,inf,0.0008211135864257812,0.0
100.0,,inf,0.0008461475372314453,0.0
500.0,,inf,0.0007779598236083984,0.0
IQNN,332.35194828600976,inf,0.21021699905395508,7.472249856146462e-05
