train_size,qnn_val_loss,iqnn_val_loss
500,261.73714471632434,87.44573777721774
1000,49.10072781962733,67.19689116939422
2000,31.19232854535503,39.674630688082786
5000,12.276331101694415,21.870055967761623
7924,11.399876794507426,14.872804980124197
